australian,banknote,breastcancer,breastHess,bupa,climate,diabetes,fertility,german,glass,golub,heart,ilpd,ionosphere,parkinsons,sonar,spirals
0.18
0.2
0.47
0.08
0.0
0.03
0.1
0.0
0.03
-0.02
0.14
0.11
0.02
0.16
0.08
0.04
0.06
