ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.9855072463768116,0.8405797101449275,1.0,1.0,1.0,0.8840579710144928,0.927536231884058,1.0,1.0
0.9855072463768116,0.8623188405797102,1.0,1.0,1.0,0.9130434782608695,0.9492753623188406,1.0,1.0
0.9343065693430657,0.8394160583941606,1.0,1.0,1.0,0.8394160583941606,0.8905109489051095,1.0,1.0
1.0,0.8394160583941606,1.0,1.0,1.0,0.9197080291970803,0.9051094890510949,1.0,1.0
0.9708029197080292,0.8321167883211679,1.0,1.0,1.0,0.8613138686131386,0.8978102189781022,1.0,1.0
0.9854014598540146,0.8394160583941606,1.0,1.0,1.0,0.8540145985401459,0.9197080291970803,1.0,1.0
1.0,0.8832116788321168,1.0,1.0,1.0,0.9051094890510949,0.9416058394160584,1.0,1.0
1.0,0.8467153284671532,1.0,1.0,1.0,0.8905109489051095,0.948905109489051,1.0,1.0
0.9927007299270073,0.8686131386861314,1.0,1.0,1.0,0.948905109489051,0.9416058394160584,1.0,1.0
0.9781021897810219,0.8175182481751825,1.0,1.0,1.0,0.8248175182481752,0.9051094890510949,1.0,1.0
