ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.987012987012987,0.8332978496912923,1.0,1.0,1.0,0.8705556738343623,0.9265488609750905,1.0,1.0
0.987012987012987,0.8578880136257185,1.0,1.0,1.0,0.903342559080264,0.9528422397274856,1.0,1.0
0.9294650560828301,0.8277610008628127,1.0,1.0,1.0,0.819672131147541,0.8899913718723038,1.0,1.0
1.0,0.8358498705780846,1.0,1.0,1.0,0.9146893874029335,0.9063848144952545,1.0,1.0
0.9720664365832614,0.8276531492666092,1.0,1.0,1.0,0.8507333908541846,0.8998058671268335,1.0,1.0
0.9836065573770492,0.8309965487489215,1.0,1.0,1.0,0.8360655737704918,0.916307161345988,1.0,1.0
1.0,0.8769413287316653,1.0,1.0,1.0,0.895060396893874,0.9408973252804143,1.0,1.0
1.0,0.84404659188956,1.0,1.0,1.0,0.8786669542709232,0.9523295944779981,1.0,1.0
0.9934210526315789,0.8654012079378776,1.0,1.0,1.0,0.9523295944779981,0.9441328731665228,1.0,1.0
0.9770276100086281,0.809641932700604,1.0,1.0,1.0,0.8032786885245902,0.9031492666091459,1.0,1.0
