ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.4972826086956521,0.5,0.45652173913043476,0.45652173913043476,0.5,0.5,0.5,0.5,0.5
0.5135869565217391,0.5,0.5407608695652174,0.5190217391304348,0.5407608695652174,0.5,0.5,0.5,0.5407608695652174
0.6168478260869565,0.5,0.5625,0.6032608695652174,0.625,0.5,0.5,0.7853260869565217,0.7445652173913043
0.7065217391304348,0.5,0.5,0.7065217391304348,0.5,0.5,0.5,0.5,0.5
0.5679347826086957,0.5,0.625,0.7282608695652174,0.5,0.5,0.5,0.5054347826086957,0.48913043478260865
0.7095959595959597,0.5,0.5328282828282829,0.6994949494949495,0.5656565656565656,0.5,0.5,0.5,0.5
0.4772727272727273,0.5,0.5625,0.6420454545454546,0.45454545454545453,0.5,0.5,0.5,0.5
0.5625,0.5,0.6647727272727273,0.6647727272727273,0.6022727272727273,0.5,0.5,0.5,0.4545454545454546
0.5,0.5,0.6420454545454546,0.6818181818181819,0.6420454545454546,0.5,0.5,0.5,0.5
0.5,0.5,0.4772727272727273,0.5397727272727273,0.5,0.5,0.5,0.4943181818181819,0.4943181818181819
