ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.9,0.75,0.7,0.7,0.75,0.5,0.575,0.65,0.775
0.75,0.7,0.65,0.65,0.65,0.675,0.625,0.55,0.55
0.9,0.5,0.75,0.875,0.75,0.7,0.7,0.525,0.775
0.7333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.9,0.95,0.95,0.95
0.85,0.6666666666666667,0.6833333333333335,0.6833333333333335,0.6833333333333335,0.75,0.9,0.6833333333333335,0.6833333333333335
0.9,0.5,0.6666666666666667,0.8333333333333334,0.6666666666666667,0.5,0.7833333333333334,0.5,0.6166666666666667
0.85,0.45,0.6166666666666667,0.7833333333333334,0.6166666666666667,0.5,0.8333333333333334,0.7333333333333334,0.7333333333333334
0.6166666666666667,0.5,0.5,0.6666666666666667,0.6666666666666667,0.5833333333333334,0.8333333333333334,0.7833333333333334,0.7833333333333334
0.75,0.7833333333333334,0.85,0.85,0.85,0.5,0.7833333333333334,0.85,0.8
0.6388888888888888,0.75,0.4444444444444444,0.6944444444444444,0.6944444444444444,0.5,0.4444444444444444,0.6388888888888888,0.7638888888888888
