ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.38095238095238093,0.5238095238095238,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.42857142857142855
0.7619047619047619,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.7619047619047619,0.47619047619047616,0.5238095238095238,0.8095238095238095,0.7142857142857143
0.5714285714285714,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.6190476190476191,0.47619047619047616,0.5238095238095238,0.6666666666666666,0.7619047619047619
0.7142857142857143,0.9523809523809523,0.6190476190476191,0.8571428571428571,0.7619047619047619,0.5238095238095238,0.8095238095238095,0.7619047619047619,0.7619047619047619
0.6190476190476191,0.7619047619047619,0.5714285714285714,0.8095238095238095,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.6666666666666666
0.6666666666666666,0.5238095238095238,0.7142857142857143,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.7142857142857143,0.6190476190476191,0.6190476190476191
0.8095238095238095,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.47619047619047616,0.5238095238095238,0.7142857142857143,0.6666666666666666
0.8571428571428571,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.9047619047619048,0.5714285714285714,0.8095238095238095,0.8571428571428571,0.9047619047619048
0.45,0.2,0.75,0.6,0.6,0.55,0.1,0.55,0.4
0.85,0.4,0.8,0.9,0.9,0.55,0.25,0.95,0.9
