ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.5,0.5,0.6833333333333333,0.7416666666666666,0.7416666666666666,0.5,0.5416666666666666,0.5249999999999999,0.5249999999999999
0.5,0.5,0.6499999999999999,0.6333333333333333,0.575,0.525,0.5,0.5,0.55
0.6166666666666667,0.5,0.7916666666666667,0.7250000000000001,0.65,0.5,0.5,0.7416666666666667,0.7166666666666667
0.6166666666666667,0.5,0.6833333333333333,0.6749999999999999,0.5916666666666667,0.5,0.5,0.5,0.7666666666666667
0.5666666666666667,0.5,0.6666666666666666,0.6666666666666666,0.7416666666666667,0.5,0.5,0.7666666666666666,0.8166666666666667
0.5,0.5,0.5857142857142857,0.6857142857142857,0.5642857142857143,0.5,0.5,0.5,0.5857142857142857
0.5,0.5,0.6857142857142857,0.7928571428571429,0.6142857142857143,0.5,0.5,0.8,0.8
0.5035714285714286,0.5,0.7000000000000001,0.7107142857142856,0.6535714285714286,0.5,0.5,0.7214285714285714,0.6964285714285715
0.5,0.5,0.6142857142857143,0.6392857142857142,0.6500000000000001,0.5,0.5,0.7321428571428572,0.7428571428571428
0.5464285714285714,0.5,0.8178571428571428,0.8178571428571428,0.7035714285714286,0.375,0.5,0.7214285714285714,0.7178571428571427
