ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.6,0.8333333333333333,0.6,0.5333333333333333,0.8666666666666668,0.5,0.5,0.8666666666666668,0.9333333333333333
0.6,0.7666666666666666,1.0,0.9666666666666667,0.9,0.5,0.5,0.9,0.9666666666666667
0.8,0.8,0.9,0.8666666666666668,0.6666666666666667,0.5,0.5,0.6666666666666667,0.8666666666666668
0.9666666666666667,0.8333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.7666666666666666,0.5,1.0,0.9666666666666667
0.4,0.9,1.0,1.0,1.0,0.9,0.5,1.0,1.0
0.8083333333333333,0.6666666666666666,0.875,0.775,0.8416666666666667,0.5,0.5583333333333333,0.875,0.775
0.7,0.6666666666666666,0.5916666666666667,0.8416666666666667,0.7083333333333334,0.5,0.5,0.875,0.9333333333333333
0.4642857142857143,0.8214285714285714,0.7642857142857142,0.7285714285714286,0.7285714285714286,0.6428571428571428,0.5,0.6642857142857144,0.7285714285714286
0.5642857142857143,0.8928571428571428,0.5642857142857143,0.6285714285714286,0.5285714285714286,0.5428571428571428,0.5,0.5642857142857143,0.5642857142857143
0.4571428571428572,0.5499999999999999,0.5642857142857143,0.7642857142857142,0.7642857142857142,0.5,0.5,0.8285714285714286,0.5642857142857143
